job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id,collision,collision_pedestrian,collision_vehicle,collision_layout,route_completion,driving_score,success,timeout,route_timeout,scenario_timeout,blocked,route_deviation,frame_count,switch_rate,original_flagged_rate,all_unsafe_rate,mechanism_available
0,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,temporal,1,Base_BadParking_0009__s3__temporal,0.0,0.0,0.0,0.0,100.0,89.731289,1.0,0.0,0.0,0.0,0.0,0.0,1304,0.14800613496932516,0.2116564417177914,0.06134969325153374,1
1,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,baseline,2,Base_BadParking_0009__s3__baseline,1.0,0.0,1.0,0.0,100.0,55.250424,0.0,0.0,0.0,0.0,0.0,0.0,1187,0.0,0.0,0.0,1
2,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,current_frame,3,Base_BadParking_0009__s3__current_frame,0.0,0.0,0.0,0.0,100.0,89.573843,1.0,0.0,0.0,0.0,0.0,0.0,1300,0.1646153846153846,0.24461538461538462,0.08,1
3,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,current_frame,1,Base_Animals_0077__s2__current_frame,0.0,0.0,0.0,0.0,100.0,72.499492,1.0,0.0,0.0,0.0,0.0,0.0,676,0.22928994082840237,0.34023668639053256,0.11094674556213018,1
4,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,baseline,2,Base_Animals_0077__s2__baseline,1.0,1.0,0.0,0.0,100.0,34.132119,0.0,0.0,0.0,0.0,0.0,0.0,1016,0.0,0.0,0.0,1
5,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,temporal,3,Base_Animals_0077__s2__temporal,1.0,1.0,0.0,0.0,100.0,34.173307,0.0,0.0,0.0,0.0,0.0,0.0,776,0.08891752577319588,0.14561855670103094,0.05670103092783505,1
6,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,current_frame,1,Base_Animals_0079__s2__current_frame,1.0,0.0,0.0,1.0,65.73,26.36044,0.0,0.0,0.0,0.0,1.0,0.0,4243,0.39641762903605937,0.451567287296724,0.055149658260664626,1
7,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,baseline,2,Base_Animals_0079__s2__baseline,1.0,0.0,0.0,1.0,65.1,26.244757,0.0,0.0,0.0,0.0,1.0,0.0,4239,0.0,0.0,0.0,1
8,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,temporal,3,Base_Animals_0079__s2__temporal,1.0,0.0,0.0,1.0,100.0,39.288743,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.22666666666666666,0.25833333333333336,0.03166666666666667,1
9,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,temporal,1,Generalization_BadParking_1009__s3__temporal,1.0,0.0,1.0,0.0,100.0,55.72424,0.0,0.0,0.0,0.0,0.0,0.0,1171,0.13151152860802734,0.25448334756618274,0.10333048676345004,1
10,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,current_frame,2,Generalization_BadParking_1009__s3__current_frame,1.0,0.0,1.0,0.0,100.0,54.765714,0.0,0.0,0.0,0.0,0.0,0.0,1216,0.19161184210526316,0.42023026315789475,0.171875,1
11,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,baseline,3,Generalization_BadParking_1009__s3__baseline,1.0,0.0,1.0,0.0,100.0,33.311828,0.0,0.0,0.0,0.0,0.0,0.0,1144,0.0,0.0,0.0,1
