job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id
0,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,temporal,1,Base_BadParking_0009__s3__temporal
1,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,baseline,2,Base_BadParking_0009__s3__baseline
2,block-0000,Base_BadParking_0009,BadParking_009,Base,3,30009,current_frame,3,Base_BadParking_0009__s3__current_frame
3,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,current_frame,1,Base_Animals_0077__s2__current_frame
4,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,baseline,2,Base_Animals_0077__s2__baseline
5,block-0001,Base_Animals_0077,Animals_077,Base,2,20077,temporal,3,Base_Animals_0077__s2__temporal
6,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,current_frame,1,Base_Animals_0079__s2__current_frame
7,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,baseline,2,Base_Animals_0079__s2__baseline
8,block-0002,Base_Animals_0079,Animals_079,Base,2,20079,temporal,3,Base_Animals_0079__s2__temporal
9,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,temporal,1,Generalization_BadParking_1009__s3__temporal
10,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,current_frame,2,Generalization_BadParking_1009__s3__current_frame
11,block-0003,Generalization_BadParking_1009,BadParking_009,Generalization,3,30009,baseline,3,Generalization_BadParking_1009__s3__baseline
12,block-0004,Generalization_BadParking_1006,BadParking_006,Generalization,1,10006,baseline,1,Generalization_BadParking_1006__s1__baseline
13,block-0004,Generalization_BadParking_1006,BadParking_006,Generalization,1,10006,current_frame,2,Generalization_BadParking_1006__s1__current_frame
14,block-0004,Generalization_BadParking_1006,BadParking_006,Generalization,1,10006,temporal,3,Generalization_BadParking_1006__s1__temporal
15,block-0005,Base_Wall_0097,Wall_097,Base,3,30097,current_frame,1,Base_Wall_0097__s3__current_frame
16,block-0005,Base_Wall_0097,Wall_097,Base,3,30097,temporal,2,Base_Wall_0097__s3__temporal
17,block-0005,Base_Wall_0097,Wall_097,Base,3,30097,baseline,3,Base_Wall_0097__s3__baseline
18,block-0006,Base_BadParking_0004,BadParking_004,Base,2,20004,temporal,1,Base_BadParking_0004__s2__temporal
19,block-0006,Base_BadParking_0004,BadParking_004,Base,2,20004,current_frame,2,Base_BadParking_0004__s2__current_frame
20,block-0006,Base_BadParking_0004,BadParking_004,Base,2,20004,baseline,3,Base_BadParking_0004__s2__baseline
21,block-0007,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,3,30014,current_frame,1,Generalization_ConstructionPedestrian_1014__s3__current_frame
22,block-0007,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,3,30014,baseline,2,Generalization_ConstructionPedestrian_1014__s3__baseline
23,block-0007,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,3,30014,temporal,3,Generalization_ConstructionPedestrian_1014__s3__temporal
24,block-0008,Base_RightConstruction_0091,RightConstruction_091,Base,2,20091,baseline,1,Base_RightConstruction_0091__s2__baseline
25,block-0008,Base_RightConstruction_0091,RightConstruction_091,Base,2,20091,temporal,2,Base_RightConstruction_0091__s2__temporal
26,block-0008,Base_RightConstruction_0091,RightConstruction_091,Base,2,20091,current_frame,3,Base_RightConstruction_0091__s2__current_frame
